iter	Passed	Remaining
840	14789	11588
841	14807	11571
842	14825	11554
843	14842	11536
844	14859	11518
845	14878	11501
846	14896	11484
847	14914	11467
848	14931	11449
849	14949	11431
850	14968	11415
851	14985	11397
852	15002	11379
853	15018	11360
854	15036	11343
855	15053	11325
856	15071	11308
857	15088	11289
858	15106	11272
859	15123	11254
860	15141	11237
861	15158	11219
862	15176	11202
863	15195	11185
864	15211	11167
865	15230	11150
866	15246	11131
867	15263	11113
868	15281	11096
869	15298	11078
870	15315	11060
871	15332	11042
872	15351	11025
873	15369	11008
874	15387	10991
875	15404	10973
876	15423	10956
877	15441	10939
878	15460	10922
879	15478	10905
880	15495	10887
881	15512	10869
882	15530	10851
883	15546	10833
884	15563	10815
885	15581	10798
886	15598	10779
887	15614	10761
888	15631	10743
889	15648	10725
890	15664	10707
891	15681	10689
892	15699	10671
893	15717	10654
894	15736	10637
895	15753	10619
896	15769	10601
897	15786	10582
898	15805	10565
899	15823	10548
900	15840	10530
901	15856	10512
902	15873	10494
903	15890	10476
904	15907	10458
905	15923	10440
906	15942	10423
907	15959	10405
908	15976	10387
909	15994	10370
910	16011	10352
911	16030	10335
912	16048	10318
913	16065	10299
914	16082	10282
915	16098	10263
916	16116	10246
917	16133	10228
918	16151	10211
919	16168	10193
920	16185	10175
921	16202	10157
922	16220	10139
923	16240	10123
924	16260	10107
925	16279	10091
926	16296	10073
927	16315	10056
928	16334	10040
929	16359	10026
930	16381	10011
931	16399	9994
932	16416	9976
933	16438	9961
934	16456	9944
935	16477	9928
936	16496	9912
937	16514	9894
938	16532	9877
939	16549	9859
940	16567	9841
941	16585	9824
942	16602	9806
943	16621	9789
944	16642	9773
945	16660	9756
946	16678	9739
947	16695	9721
948	16712	9703
949	16729	9685
950	16747	9668
951	16766	9651
952	16783	9633
953	16801	9615
954	16818	9597
955	16834	9579
956	16853	9562
957	16871	9545
958	16888	9527
959	16905	9509
960	16922	9491
961	16939	9473
962	16956	9455
963	16973	9437
964	16991	9420
965	17008	9402
966	17025	9384
967	17042	9366
968	17060	9349
969	17077	9330
970	17095	9313
971	17112	9295
972	17130	9278
973	17147	9260
974	17165	9243
975	17182	9225
976	17199	9207
977	17217	9189
978	17235	9172
979	17254	9155
980	17270	9137
981	17287	9119
982	17306	9101
983	17322	9083
984	17339	9065
985	17356	9048
986	17374	9030
987	17393	9013
988	17411	8996
989	17428	8978
990	17447	8961
991	17466	8944
992	17484	8926
993	17502	8909
994	17520	8892
995	17538	8875
996	17555	8857
997	17574	8839
998	17592	8822
999	17610	8805
1000	17628	8787
1001	17646	8770
1002	17665	8753
1003	17682	8735
1004	17698	8717
1005	17716	8699
1006	17734	8682
1007	17751	8664
1008	17769	8646
1009	17787	8629
1010	17805	8611
1011	17821	8594
1012	17840	8576
1013	17860	8560
1014	17879	8543
1015	17901	8527
1016	17921	8511
1017	17940	8494
1018	17960	8477
1019	17980	8461
1020	17998	8443
1021	18016	8426
1022	18032	8408
1023	18049	8390
1024	18068	8373
1025	18086	8355
1026	18105	8338
1027	18123	8321
1028	18140	8303
1029	18157	8285
1030	18176	8268
1031	18192	8250
1032	18210	8232
1033	18229	8215
1034	18247	8198
1035	18266	8181
1036	18284	8163
1037	18301	8145
1038	18317	8127
1039	18335	8109
1040	18353	8092
1041	18370	8074
1042	18387	8056
1043	18404	8038
1044	18421	8020
1045	18439	8003
1046	18456	7985
1047	18472	7967
1048	18489	7949
1049	18506	7931
1050	18524	7913
1051	18541	7895
1052	18559	7878
1053	18576	7860
1054	18594	7843
1055	18611	7825
1056	18627	7807
1057	18646	7789
1058	18664	7772
1059	18682	7755
1060	18700	7737
1061	18717	7719
1062	18735	7702
1063	18751	7683
1064	18768	7665
1065	18785	7648
1066	18803	7630
1067	18820	7612
1068	18838	7595
1069	18855	7577
1070	18873	7560
1071	18890	7542
1072	18907	7524
1073	18924	7506
1074	18942	7488
1075	18959	7471
1076	18978	7453
1077	18994	7435
1078	19012	7418
1079	19030	7400
1080	19048	7383
1081	19065	7365
1082	19084	7348
1083	19101	7330
1084	19118	7312
1085	19136	7295
1086	19155	7277
1087	19172	7259
1088	19190	7242
1089	19207	7224
1090	19225	7207
1091	19244	7190
1092	19262	7172
1093	19278	7154
1094	19297	7137
1095	19313	7119
1096	19332	7101
1097	19348	7084
1098	19367	7066
1099	19384	7048
1100	19400	7030
1101	19417	7012
1102	19435	6995
1103	19452	6977
1104	19471	6960
1105	19489	6942
1106	19506	6925
1107	19523	6907
1108	19540	6889
1109	19558	6871
1110	19576	6854
1111	19595	6837
1112	19612	6819
1113	19629	6801
1114	19648	6784
1115	19665	6766
1116	19683	6749
1117	19700	6731
1118	19718	6713
1119	19736	6696
1120	19753	6678
1121	19771	6661
1122	19788	6643
1123	19806	6625
1124	19822	6607
1125	19841	6590
1126	19861	6573
1127	19880	6556
1128	19898	6538
1129	19915	6521
1130	19932	6503
1131	19951	6486
1132	19970	6468
1133	19986	6450
1134	20003	6432
1135	20020	6414
1136	20038	6397
1137	20056	6380
1138	20073	6362
1139	20090	6344
1140	20109	6327
1141	20130	6310
1142	20147	6292
1143	20165	6275
1144	20184	6258
1145	20202	6240
1146	20219	6222
1147	20237	6205
1148	20254	6187
1149	20273	6170
1150	20289	6152
1151	20306	6134
1152	20322	6116
1153	20339	6098
1154	20356	6080
1155	20374	6063
1156	20393	6045
1157	20411	6028
1158	20429	6010
1159	20446	5993
1160	20465	5975
1161	20484	5958
1162	20502	5940
1163	20519	5923
1164	20537	5905
1165	20555	5888
1166	20573	5870
1167	20590	5852
1168	20608	5835
1169	20626	5817
1170	20645	5800
1171	20662	5782
1172	20680	5765
1173	20699	5747
1174	20717	5730
1175	20737	5713
1176	20754	5695
1177	20772	5677
1178	20793	5661
1179	20811	5643
1180	20830	5626
1181	20849	5609
1182	20870	5592
1183	20893	5576
1184	20911	5558
1185	20928	5540
1186	20949	5524
1187	20968	5506
1188	20987	5489
1189	21008	5472
1190	21027	5455
1191	21047	5438
1192	21063	5420
1193	21082	5403
1194	21102	5385
1195	21125	5369
1196	21143	5351
1197	21161	5334
1198	21178	5316
1199	21196	5299
1200	21213	5281
1201	21233	5264
1202	21251	5246
1203	21269	5229
1204	21288	5211
1205	21307	5194
1206	21324	5176
1207	21340	5158
1208	21358	5140
1209	21375	5123
1210	21392	5105
1211	21411	5087
1212	21429	5070
1213	21447	5052
1214	21465	5035
1215	21483	5017
1216	21502	5000
1217	21518	4982
1218	21536	4964
1219	21553	4946
1220	21569	4928
1221	21587	4911
1222	21605	4893
1223	21622	4875
1224	21639	4857
1225	21656	4840
1226	21673	4822
1227	21691	4804
1228	21709	4787
